# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  3 -18.0689 640.94 430.499
  4 -15.6597 592.58 446.132
  5 -13.2505 600.97 449.608
  6 -10.8414 654.37 443.291
  7 -8.43217 627.34 465.342
  8 -6.02298 581.78 470.582
  9 -3.61379 622.85 475.543
  10 -1.2046 580.92 472.091
  11 1.2046 615 471.214
  12 3.61379 591.46 473.049
  13 6.02298 612.47 464.342
  14 8.43217 610.11 466.552
  15 10.8414 599.39 465.218
  16 13.2505 646.15 444.236
  17 15.6597 621.7 438.927
  18 18.0689 601.61 440.582
  19 20.4781 632.72 444.377
  20 22.8873 632.09 433.325
  21 25.2965 0 0
34000 21 12312.000000000002
  1 -22.8873 621.47 419.546
  2 -20.4781 627.3 432.504
  3 -18.0689 634.9 440.705
  4 -15.6597 595.91 437.74
  5 -13.2505 640.57 440.882
  6 -10.8414 624.35 443.676
  7 -8.43217 606.73 461.908
  8 -6.02298 578.5 462.935
  9 -3.61379 634.34 464.849
  10 -1.2046 581.62 468.594
  11 1.2046 622.02 465.264
  12 3.61379 609.14 468.716
  13 6.02298 593.05 462.884
  14 8.43217 599.78 463.92
  15 10.8414 618.48 462.494
  16 13.2505 638.77 456.686
  17 15.6597 622.45 445.803
  18 18.0689 601.07 438.268
  19 20.4781 626.62 440.256
  20 22.8873 634.93 425.388
  21 25.2965 0 0
35000 21 12312
  1 -22.8873 618.17 421.017
  2 -20.4781 619.33 436.018
  3 -18.0689 640.69 436.646
  4 -15.6597 580.86 436.322
  5 -13.2505 651.78 447.991
  6 -10.8414 633.13 452.337
  7 -8.43217 603.1 460.123
  8 -6.02298 603.91 462.132
  9 -3.61379 653.67 470.478
  10 -1.2046 581.27 466.994
  11 1.2046 604.85 475.314
  12 3.61379 622.95 466.416
  13 6.02298 594.27 464.393
  14 8.43217 594.2 469.64
  15 10.8414 635.3 459.184
  16 13.2505 609.83 447.808
  17 15.6597 615.89 446.723
  18 18.0689 590.53 449.087
  19 20.4781 650.51 437.309
